Feature name	Note	Registry ID	GRACEv2 Plate	GRACEv2 Position	No_DOX_score	DOX_score	Essential_verdict
CR_03990C_A		GELC0124	Plate 01	H06	0	3.5	E
CR_08980C_A		GELC0126	Plate 01	H07	0	0	NE
C4_03900C_A		GELC0127	Plate 01	H08	0	0	NE
C4_04570W_A		GELC0128	Plate 01	H09	0	0	NE
C1_14100W_A		GELC0130	Plate 01	H10	0	0	NE
C2_06910W_A		GELC0131	Plate 01	H11	0	0	NE
C6_01120C_A		GELC0135	Plate 01	H12	0	0	NE
	CaLC3365 Wild type HIS+		Plate 02	A01			
	Empty		Plate 02	A02			
	Empty		Plate 02	A03			
	CaLC6106 Wild type HIS-		Plate 02	A04			
	tetO-BRC1 Nonessential control		Plate 02	A05			
	tetO-HSP90 Essential control		Plate 02	A06			
C6_03630W_A		GELC0136	Plate 02	A07	0	0	NE
CR_00320C_A		GELC0137	Plate 02	A08	0	0	NE
CR_04200W_A		GELC0138	Plate 02	A09	0	0	NE
CR_06520C_A		GELC0139	Plate 02	A10	0	0	NE
C1_00360W_A		GELC0141	Plate 02	A11	0	0	NE
C1_00540C_A		GELC0142	Plate 02	A12	0	0	NE
C1_01070C_A		GELC0143	Plate 02	B01	0	4	E
C2_00090W_A		GELC0144	Plate 02	B02	0	0	NE
C1_01490W_A		GELC0145	Plate 02	B03	0	0	NE
C1_01600W_A		GELC0146	Plate 02	B04	0	3.833333333	E
C1_01680C_A		GELC0147	Plate 02	B05	0	0	NE
C1_05390C_A		GELC0150	Plate 02	B06	0	0	NE
C1_05680C_A		GELC0151	Plate 02	B07	0	0	NE
C1_06230C_A		GELC0152	Plate 02	B08	0	3.666666667	E
C2_00590W_A		GELC0153	Plate 02	B09	0	0	NE
C1_08520C_A		GELC0155	Plate 02	B10	0	3.666666667	E
C1_08550C_A		GELC0156	Plate 02	B11	0	0	NE
C1_08630W_A		GELC0157	Plate 02	B12	0	0	NE
C1_09450C_A		GELC0158	Plate 02	C01	0	0.875	GD
C1_09670C_A		GELC0160	Plate 02	C02	0	4	E
C1_10260C_A		GELC0161	Plate 02	C03	0	0	NE
C1_10910C_A		GELC0162	Plate 02	C04	0	0	NE
C1_12040W_A		GELC0163	Plate 02	C05	0	0	NE
C1_12260W_A		GELC0164	Plate 02	C06	0	0	NE
C1_12690C_A		GELC0168	Plate 02	C07	0	0	NE
C2_04740C_A		GELC0169	Plate 02	C08	0	0	NE
C2_09300W_A		GELC0170	Plate 02	C09	0	0	NE
C2_04770W_A		GELC0171	Plate 02	C10	0	0	NE
C2_01200C_A		GELC0173	Plate 02	C11	0	4	E
C2_01260W_A		GELC0174	Plate 02	C12	0	0	NE
C2_02160W_A		GELC0175	Plate 02	D01	0	0	NE
C2_02900W_A		GELC0176	Plate 02	D02	0	0	NE
C2_03890W_A		GELC0177	Plate 02	D03	0	0	NE
C1_08100W_A		GELC0178	Plate 02	D04	0	0	NE
C4_01890C_A		GELC0179	Plate 02	D05	0	0	NE
CR_02140W_A		GELC0180	Plate 02	D06	0	0	NE
C3_01470W_A		GELC0181	Plate 02	D07	0	0	NE
C1_05350W_A		GELC0182	Plate 02	D08	0	0	NE
C1_11190W_A		GELC0183	Plate 02	D09	0	0	NE
C1_02380C_A		GELC0184	Plate 02	D10	0	0	NE
C5_05190W_A		GELC0185	Plate 02	D11	0	0	NE
CR_02950C_A		GELC0187	Plate 02	D12	0	1.75	GD
C4_01880W_A		GELC0188	Plate 02	E01	0	3.333333333	E
C5_01710C_A		GELC0189	Plate 02	E02	0	0	NE
CR_03430W_A		GELC0190	Plate 02	E03	0	0	NE
C3_01300C_A		GELC0191	Plate 02	E04	0	0	NE
C2_03950W_A		GELC0193	Plate 02	E05	0	0	NE
C6_00550W_A		GELC0195	Plate 02	E06	0	3.333333333	E
CR_01370C_A		GELC0196	Plate 02	E07	0	2.125	GD
CR_00410W_A		GELC0197	Plate 02	E08	0	0	NE
CR_03950W_A		GELC0198	Plate 02	E09	0	0	NE
C6_02370C_A		GELC0199	Plate 02	E10	0	0.625	GD
CR_10740W_A		GELC0201	Plate 02	E11	0	0	NE
C4_06740C_A		GELC0202	Plate 02	E12	0	0	NE
C4_03200C_A		GELC0203	Plate 02	F01	0	0	NE
C4_05020W_A		GELC0204	Plate 02	F02	0	1.625	GD
C3_01850W_A		GELC0205	Plate 02	F03	0	0	NE
C7_03000C_A		GELC0206	Plate 02	F04	0	3.833333333	E
CR_05100W_A		GELC0207	Plate 02	F05	0	0	NE
CR_06940W_A		GELC0208	Plate 02	F06	0	0	NE
C4_03330W_A		GELC0209	Plate 02	F07	0	0	NE
C3_03090W_A		GELC0210	Plate 02	F08	0	0	NE
C6_00790C_A		GELC0211	Plate 02	F09	0	0	NE
C2_10090C_A		GELC0212	Plate 02	F10	0	0	NE
C5_01480W_A		GELC0213	Plate 02	F11	0	0	NE
C5_02780W_A		GELC0214	Plate 02	F12	0	0.5	GD
C4_01150W_A		GELC0215	Plate 02	G01	0	2.75	GD
C7_00730W_A		GELC0216	Plate 02	G02	0	2.375	GD
C3_02670W_A		GELC0218	Plate 02	G03	0	0	NE
CR_07350W_A		GELC0219	Plate 02	G04	0	0	NE
C5_03410C_A		GELC0220	Plate 02	G05	0	3.5	E
C6_01960W_A		GELC0221	Plate 02	G06	0	0	NE
C5_04030W_A		GELC0222	Plate 02	G07	0	0	NE
C7_01370W_A		GELC0223	Plate 02	G08	0	0	NE
C2_04370W_A		GELC0224	Plate 02	G09	0	3.5	E
C4_04600C_A		GELC0225	Plate 02	G10	0	0	NE
C5_01530C_A		GELC0226	Plate 02	G11	0	0	NE
C6_02840C_A		GELC0227	Plate 02	G12	0	0	NE
C6_03220W_A		GELC0228	Plate 02	H01	0	0	NE
C3_01800C_A		GELC0229	Plate 02	H02	0	0.166666667	GD
C6_01000C_A		GELC0230	Plate 02	H03	0	0	NE
C3_06740W_A		GELC0231	Plate 02	H04	0	0	NE
CR_00050W_A		GELC0232	Plate 02	H05	0	0	NE
C3_05950W_A		GELC0233	Plate 02	H06	0	0	NE
CR_03350C_A		GELC0234	Plate 02	H07	0	0	NE
CR_08470W_A		GELC0235	Plate 02	H08	0	0	NE
CR_08500W_A		GELC0236	Plate 02	H09	0	0	NE
C4_04910C_A		GELC0240	Plate 02	H10	0	0.166666667	GD
C6_02540C_A		GELC0241	Plate 02	H11	0	0	NE
C6_03200W_A		GELC0242	Plate 02	H12	0	3.166666667	E
	CaLC3365 Wild type HIS+		Plate 03	A01			
	CaLC6106 Wild type HIS-		Plate 03	A02			
	Empty		Plate 03	A03			
	Empty		Plate 03	A04			
	tetO-BRC1 Nonessential control		Plate 03	A05			
	tetO-HSP90 Essential control		Plate 03	A06			
C3_06880W_A		GELC0244	Plate 03	A07	0	0	NE
CR_02600W_A		GELC0247	Plate 03	A08	0	0	NE
C4_01720C_A		GELC0249	Plate 03	A09	0	0	NE
CR_04330W_A		GELC0250	Plate 03	A10	0	0	NE
C7_03210W_A		GELC0251	Plate 03	A11	0	0	NE
CR_07390C_A		GELC0252	Plate 03	A12	0	3.166666667	E
CR_02440W_A		GELC0254	Plate 03	B01	0	0	NE
C4_02370C_A		GELC0255	Plate 03	B02	0	0	NE
CR_00810W_A		GELC0256	Plate 03	B03	0	0	NE
CR_09970W_A		GELC0257	Plate 03	B04	0	1.125	GD
C1_07390W_A		GELC0259	Plate 03	B05	0	0	NE
C2_06150C_A		GELC0260	Plate 03	B06	0	0	NE
C1_03990W_A		GELC0263	Plate 03	B07	0	0	NE
C2_03760C_A		GELC0264	Plate 03	B08	0	0	NE
C2_09980W_A		GELC0266	Plate 03	B09	0	0	NE
C4_03770W_A		GELC0267	Plate 03	B10	0	0	NE
C2_10600W_A		GELC0268	Plate 03	B11	0	0	NE
C2_04930C_A		GELC0272	Plate 03	B12	0	0	NE
C6_01190C_A		GELC0273	Plate 03	C01	0	0	NE
C1_00780C_A		GELC0274	Plate 03	C02	0	0	NE
C2_04980C_A		GELC0275	Plate 03	C03	0	0	NE
C6_02160W_A		GELC0276	Plate 03	C04	0	0	NE
C4_05030C_A		GELC0277	Plate 03	C05	0	0	NE
C6_00350W_A		GELC0278	Plate 03	C06	0	0	NE
